,Ngành,Total-M,YOY,Total-YOY,YTD-YOY,Date,Month,PreMonth,MOM
4406,Vải,1100,,5165.34203,12.961970095383805,2015-06-29,2015-06,2015-05,10.000000000000014
4407,"Nguyên PL dệt, may, giày dép",500,,2565.66574,13.101789881259478,2015-06-29,2015-06,2015-05,-9.090909090909093
4408,Sắt thép,710.1922098362274,,3680.7080368362276,9.987757147639826,2015-06-29,2015-06,2015-05,19.28893845028037
4409,Kim loại thường khác,360.3176425574761,,1831.9972785574762,12.20613537331407,2015-06-29,2015-06,2015-05,20.99436458190486
4410,"Điện tử, máy tính và linh kiện",2000,,11390.933943,37.45699092308121,2015-06-29,2015-06,2015-05,0.0
4411,Điện thoại và linh kiện,850,,5211.809289,31.885080560078165,2015-06-29,2015-06,2015-05,0.0
4412,"Máy móc thiết bị, dụng cụ PT khác",2600,,14061.078834,37.44650251857499,2015-06-29,2015-06,2015-05,8.333333333333329
4413,Ô tô,624.8799558092433,,2946.0963968092433,97.5,2015-06-29,2015-06,2015-05,6.414706868798831
4414,Trong đó: Nguyên chiếc(*),344.8799558092432,,1550.9664158092432,185.97938042345652,2015-06-29,2015-06,2015-05,2.273919540563355
4415,"Xe máy và linh kiện, phụ tùng",30,,168.455256,-9.52469431243999,2015-06-29,2015-06,2015-05,0.0
4416,Phương tiện vận tải khác và PT,54.530856,,261.520214,-25.200182376175746,2015-06-29,2015-06,2015-05,36.327139999999986
4417,TỔNG TRỊ GIÁ,14400,,66167,15.799999999999997,2015-05-29,2015-05,2015-04,0.0
4418,Khu vực kinh tế trong nước,6000,,26490,6.299999999999997,2015-05-29,2015-05,2015-04,5.263157894736835
4419,Khu vực có vốn đầu tư NN,8400,,39677,23.200000000000003,2015-05-29,2015-05,2015-04,-3.448275862068968
4420,Thủy sản,85,,435.99405,4.04927205014225,2015-05-29,2015-05,2015-04,-15.0
4421,Sữa và sản phẩm sữa,100,,423.872218,-10.627171548640916,2015-05-29,2015-05,2015-04,0.0
4422,Rau quả,40,,187.209541,9.950159701221907,2015-05-29,2015-05,2015-04,0.0
4423,Lúa mỳ,41.17134651971048,,252.84143351971048,-5.491186060309147,2015-05-29,2015-05,2015-04,-27.127537817672504
4424,Dầu mỡ động thực vật,70,,290.81138799999997,0.20577145412691777,2015-05-29,2015-05,2015-04,0.0
4425,Thức ăn gia súc và NPL,250,,1419.82232,17.760835002396362,2015-05-29,2015-05,2015-04,-21.875
4426,Xăng dầu,513.5958610054613,,2509.6730030054614,-27.43733584893795,2015-05-29,2015-05,2015-04,3.1341953876828086
4427,Khí đốt hóa lỏng,51.1010916385788,,230.9449846385788,-13.16946619967375,2015-05-29,2015-05,2015-04,-22.837672333750774
