,Ngành,Total-Pre-Month,E-Total-M,E-MOM,YOY,Total-YTD,YTD-YOY,Date,Month,PreMonth,Total-M,MOM
2598,Điện thoại di động,99.6,14.9,-85.04016064257029,-16.03825770900474,114.5,-0.8774329305287552,2018-07-27,2018-07,2018-06,15.768078,-84.16859638554217
2599,Tivi,5337.0,1171.4,-78.05133970395353,14.290000000000006,6508.4,14.036222157061147,2018-07-27,2018-07,2018-06,1284.3902303975808,-75.93422839802172
2600,Ô tô,117.60000000000001,23.2,-80.27210884353741,31.416767545652988,140.8,9.515630934564513,2018-07-27,2018-07,2018-06,21.838342858445365,-81.42998056254646
2601,Xe máy,1656.4,285.1,-82.78797391934316,4.030000000000001,1941.5,4.900698617666578,2018-07-27,2018-07,2018-06,293.64639527586706,-82.27201187660788
2602,Điện sản xuất,99.69999999999999,19.1,-80.84252758274825,12.434493362762566,118.8,10.685630469920255,2018-07-27,2018-07,2018-06,18.889764,-81.0533961885657
2603,Nước máy thương phẩm,1501.3,265.7,-82.30200492906148,8.749999999999986,1767.0,6.827103161063675,2018-07-27,2018-07,2018-06,263.0095937195621,-82.48121003666408
2604,Than đá (than sạch),18441.7,3980.6,-78.41522202399996,19.775702537034263,22422.3,11.089011609270557,2018-06-29,2018-06,2018-05,22273.5,20.777910930120314
2605,Dầu mỏ thô khai thác,5201.0,960.0,-81.5420111517016,-15.76361163515115,6161.0,-10.912206372502936,2018-06-29,2018-06,2018-05,6171.0,18.650259565468176
2606,Khí đốt thiên nhiên dạng khí,4419.7,880.0,-80.08914632214857,-5.376344086021504,5299.7,-0.19397363465159856,2018-06-29,2018-06,2018-05,5299.7,19.910853677851435
2607,Khí hoá lỏng (LPG),368.40000000000003,69.2,-81.21606948968513,113.93289723807953,437.6,18.453981073598257,2018-06-29,2018-06,2018-05,448.20000000000005,21.661237785016297
2608,Thuỷ hải sản chế biến,1120.1,259.7,-76.81457012766717,18.61999999999999,1379.8,12.611490645343466,2018-06-29,2018-06,2018-05,1372.1000000000001,22.497991250781197
2609,Sữa tươi,599.8,135.6,-77.39246415471824,2.4599999999999937,735.4,0.04892283974622558,2018-06-29,2018-06,2018-05,734.0,22.374124708236096
2610,Sữa bột,61.5,13.3,-78.3739837398374,12.949999999999989,74.8,12.707776607554337,2018-06-29,2018-06,2018-05,73.1,18.861788617886162
2611,Đường kính,1257.3,111.5,-91.13179034438878,96.57404905902115,1368.8,18.866318506821415,2018-06-29,2018-06,2018-05,1355.1000000000001,7.778573132903858
2612,Bột ngọt,121.50000000000001,27.3,-77.53086419753086,6.320856699299952,148.8,1.6462055429776683,2018-06-29,2018-06,2018-05,146.5,20.576131687242793
2613,Thức ăn cho gia súc,6029.6,1191.0,-80.24744593339526,7.420000000000002,7220.6,0.6489654722052478,2018-06-29,2018-06,2018-05,7224.0,19.80894255008623
2614,Thức ăn cho thủy sản,2320.8999999999996,514.8,-77.81894954543496,14.510000000000005,2835.7,17.75291797821575,2018-06-29,2018-06,2018-05,2858.7999999999997,23.176354000603226
2615,Bia,1741.4,438.6,-74.81336855403698,12.665637412636954,2180.0,8.731222153670444,2018-06-29,2018-06,2018-05,2161.9,24.14723785459975
2616,Thuốc lá điếu,2314.5,515.0,-77.74897386044502,9.559999999999988,2829.5,3.159024329977541,2018-06-29,2018-06,2018-05,2814.0,21.581335061568367
2617,Vải dệt từ sợi tự nhiên,226.40000000000003,48.2,-78.71024734982332,14.959999999999994,274.6,9.744871839865098,2018-06-29,2018-06,2018-05,280.2,23.76325088339219
2618,Vải dệt từ sợi tổng hợp hoặc sợi nhân tạo,430.4,95.5,-77.81133828996283,15.14,525.9,22.11483432399568,2018-06-29,2018-06,2018-05,523.9,21.723977695167292
2619,Quần áo mặc thường,1886.8,418.7,-77.80898876404494,11.670000000000002,2305.5,10.350168961397117,2018-06-29,2018-06,2018-05,2288.0,21.263514945940216
2620,"Giày, dép da",101.4,26.0,-74.35897435897436,17.609999999999985,127.4,5.097403416129538,2018-06-29,2018-06,2018-05,128.1,26.331360946745548
2621,Phân U rê,997.1,180.6,-81.8874736736536,-6.423208449269737,1177.7,-1.8008910428209077,2018-06-29,2018-06,2018-05,1174.6999999999998,17.8116537960084
2622,Phân hỗn hợp N.P.K,1212.3000000000002,275.6,-77.2663532129011,-0.25,1487.9,2.029731260957689,2018-06-29,2018-06,2018-05,1492.8,23.137837169017544
2623,Sơn hoá học,333.29999999999995,76.1,-77.16771677167716,11.620000000000005,409.4,5.324561282856806,2018-06-29,2018-06,2018-05,407.9,22.382238223822398
2624,"Dầu gội đầu, dầu xả",26.735,5.6173,-78.98896577520105,2.8599999999999994,32.3523,-2.339704387489519,2018-06-29,2018-06,2018-05,31.599999999999998,18.1971198803067
2625,"Sữa tắm, sữa rửa mặt",14.2303,3.1096,-78.14803623254605,-3.510000000000005,17.3399,-6.5933701266049525,2018-06-29,2018-06,2018-05,17.400000000000002,22.274302017525997
2626,Xi măng,36.5,8.3,-77.26027397260273,17.89,44.8,10.642688592934562,2018-06-29,2018-06,2018-05,44.2,21.095890410958916
2627,"Sắt, thép thô",5924.7,1604.8,-72.91339645889244,57.21000000000001,7529.5,43.658430903897965,2018-06-29,2018-06,2018-05,7516.6,26.868870997687665
2628,Thép cán,2296.9,496.9,-78.36649397013366,6.8999999999999915,2793.8,5.25032488226411,2018-06-29,2018-06,2018-05,2781.7999999999997,21.11106273673211
2629,"Thép thanh, thép góc",2721.6,602.1,-77.87698412698413,22.590000000000003,3323.7,15.977513948256998,2018-06-29,2018-06,2018-05,3252.2000000000003,19.49588477366258
