,Phân Loại,E-Total-M,YOP,YTD-YOY,Total-YOY,Total-Pre-Month,E-MOM,Date,Month,PreMonth,PreYearMonth,Total-M,MOM,M-YOY
5342,An Giang,121.78,14.555025237305136,-14.441970026099938,312.73,190.95,-36.224142445666395,2013-02-28,2013-02,2013-01,2012-02,138.935,-27.24011521340664,
5343,Bình Dương,130.634,7.712760483663494,2.6540521291312302,299.795,169.161,-22.77534419872194,2013-02-28,2013-02,2013-01,2012-02,133.932,-20.82572224094207,-22.850230414746548
5344,Điện Biên,93.387,13.603853526373799,-44.297446725436274,293.885,200.498,-53.42247802970603,2013-02-28,2013-02,2013-01,2012-02,82.124,-59.03999042384463,
5345,Phú Thọ,115.394,19.17482654797748,14.204126822003985,292.953,177.559,-35.01089778608801,2013-02-28,2013-02,2013-01,2012-02,114.958,-35.256449968742785,
5346,Quảng Ninh,102.346,7.608918886977532,-31.655713187108702,289.721,187.375,-45.3790527018012,2013-02-28,2013-02,2013-01,2012-02,128.241,-31.559172781854556,-15.519762845849812
5347,Lai Châu,128.849,22.29510039072483,137.519681165125,289.641,160.792,-19.86603811134883,2013-02-28,2013-02,2013-01,2012-02,59.495,-62.99878103388228,
5348,Hậu Giang,120.77,23.19687936738196,-20.485485758639726,262.25,141.48,-14.638111393836581,2013-02-28,2013-02,2013-01,2012-02,139.73,-1.236923946847611,-2.2867132867132938
5349,Đắk Lắk,124.757,16.58093355794612,-19.678720020561926,250.004,125.247,-0.39122693557528976,2013-02-28,2013-02,2013-01,2012-02,253.738,102.59008199797202,15.756386861313871
5350,Cà Mau,112.853,21.6855193464404,-15.145309113391335,241.555,128.702,-12.314493947258015,2013-02-28,2013-02,2013-01,2012-02,112.853,-12.314493947258015,
5351,Đồng Tháp,111.146,14.791940722243279,-4.638395227847141,238.836,127.69,-12.956378729736073,2013-02-28,2013-02,2013-01,2012-02,113.961,-10.751820816038844,
5352,Quảng Trị,106.0,18.50050825137813,-2.7623253553133935,234.054,128.054,-17.222421790807005,2013-02-28,2013-02,2013-01,2012-02,106.0,-17.222421790807005,
5353,Đắk Nông,54.4,23.403909285305545,37.45356776453107,233.124,178.724,-69.56200622188402,2013-02-28,2013-02,2013-01,2012-02,86.399,-51.65786352140731,
5354,Hải Phòng,90.735,10.653964644987038,-33.7746088563016,229.418,138.683,-34.57381221923379,2013-02-28,2013-02,2013-01,2012-02,90.735,-34.57381221923379,-26.708400646203557
5355,Nam Định,107.42,16.225912477742877,-4.369310793237972,220.62,113.2,-5.10600706713781,2013-02-28,2013-02,2013-01,2012-02,107.42,-5.10600706713781,
5356,TỔNG SỐ,12771.56857332921,6.528702880978559,17.86949183684827,12771.56857332921,,,2013-01-29,2013-01,2012-12,2012-01,12004.142,,12.237543593915092
5357,Trung ương,2501.0,5.283348895376594,1.050505050505052,2501.0,,,2013-01-29,2013-01,2012-12,2012-01,2448.0,,-1.0909090909090935
5358,Địa phương,10270.56857332921,6.92626192731648,22.848590403610885,10270.56857332921,,,2013-01-29,2013-01,2012-12,2012-01,9556.142,,16.250526136515703
5359,Bộ Giao thông Vận tải,445.0,6.869722277969033,0.6787330316741986,445.0,,,2013-01-29,2013-01,2012-12,2012-01,416.0,,-5.882352941176478
5360,Bộ NN và PTNT,232.0,5.2347751528689725,13.17073170731706,232.0,,,2013-01-29,2013-01,2012-12,2012-01,202.0,,-1.4634146341463463
5361,Bộ Xây dựng,102.0,5.036042263256641,29.113924050632903,102.0,,,2013-01-29,2013-01,2012-12,2012-01,95.0,,39.70588235294116
5362,Bộ Giáo dục - Đào tạo,52.0,7.4605451936872305,1.9607843137254832,52.0,,,2013-01-29,2013-01,2012-12,2012-01,47.0,,-10.476190476190467
5363,Bộ Y tế,51.7,5.8669995460735365,-0.5769230769230802,51.7,,,2013-01-29,2013-01,2012-12,2012-01,49.5,,-3.883495145631059
5364,"Bộ Văn hoá, Thể thao và Du lịch",31.0,6.079623455579526,-3.125,31.0,,,2013-01-29,2013-01,2012-12,2012-01,31.0,,-3.125
5365,Bộ Công Thương,20.0,6.385696040868455,-4.761904761904773,20.0,,,2013-01-29,2013-01,2012-12,2012-01,19.0,,-8.212560386473427
5366,Hà Nội,1729.052,6.74248569838567,78.64654258561654,1729.052,,,2013-01-29,2013-01,2012-12,2012-01,1544.17,,59.53817543134622
5367,Đà Nẵng,609.547,17.818843545369504,54.98428664415607,609.547,,,2013-01-29,2013-01,2012-12,2012-01,341.151,,-13.259344012204423
5368,Vĩnh Phúc,537.115,16.722135740971357,61.72658101308892,537.115,,,2013-01-29,2013-01,2012-12,2012-01,460.089,,
5369,TP. Hồ Chí Minh,535.1,2.6179701069008536,6.9761397826890885,535.1,,,2013-01-29,2013-01,2012-12,2012-01,540.2,,7.99680127948821
5370,Kiên Giang,379.7,13.958019336102634,108.42138775599821,379.7,,,2013-01-29,2013-01,2012-12,2012-01,277.698,,
5371,Bà Rịa - Vũng Tàu,335.873,7.623888500236293,5.870801391970957,335.873,,,2013-01-29,2013-01,2012-12,2012-01,399.834,,26.051071878940732
5372,Nghệ An,269.323,12.18016787568516,4.305477022222547,269.323,,,2013-01-29,2013-01,2012-12,2012-01,271.117,,
5373,Cà Mau,248.774,22.3336026573301,67.58326147876696,248.774,,,2013-01-29,2013-01,2012-12,2012-01,128.702,,
5374,Hà Tĩnh,232.17,17.90655918257795,65.3868072374982,232.17,,,2013-01-29,2013-01,2012-12,2012-01,206.83,,47.31481481481481
5375,Thanh Hóa,198.554,6.333642752104526,56.46739901338083,198.554,,,2013-01-29,2013-01,2012-12,2012-01,204.436,,61.10007880220647
5376,Điện Biên,195.548,9.051861610410002,-46.826989487652206,195.548,,,2013-01-29,2013-01,2012-12,2012-01,200.498,,
5377,Phú Thọ,192.057,12.570820788061265,54.2589335196742,192.057,,,2013-01-29,2013-01,2012-12,2012-01,177.559,,
5378,Đồng Nai,190.149,5.868434047281033,16.547146219476332,190.149,,,2013-01-29,2013-01,2012-12,2012-01,190.515,,35.50142247510669
5379,An Giang,186.59,8.684239308760802,-27.107301770848395,186.59,,,2013-01-29,2013-01,2012-12,2012-01,190.95,,
5380,Bình Dương,163.621,4.10026312492169,10.789783730346826,163.621,,,2013-01-29,2013-01,2012-12,2012-01,169.161,,14.530128639133395
5381,Quảng Ninh,163.431,4.292174963560201,-39.934285724786555,163.431,,,2013-01-29,2013-01,2012-12,2012-01,187.375,,-31.137449467107686
5382,Đắk Nông,149.197,14.978265016213394,137.98411280546162,149.197,,,2013-01-29,2013-01,2012-12,2012-01,178.724,,
5383,Hải Phòng,145.493,6.756563469706384,-34.659223597463495,145.493,,,2013-01-29,2013-01,2012-12,2012-01,138.683,,-37.72653794342165
5384,Quảng Ngãi,141.765,7.964102131962584,-1.1815140108741247,141.765,,,2013-01-29,2013-01,2012-12,2012-01,141.765,,-1.20905923344948
5385,Lâm Đồng,135.961,9.131346427141848,164.44353677986544,135.961,,,2013-01-29,2013-01,2012-12,2012-01,135.961,,164.51556420233464
5386,Đồng Tháp,135.695,11.364740368509212,10.700038342619848,135.695,,,2013-01-29,2013-01,2012-12,2012-01,127.69,,
5387,Hưng Yên,134.82,9.65184073675288,64.40059994878484,134.82,,,2013-01-29,2013-01,2012-12,2012-01,134.82,,64.41463414634146
5388,Quảng Trị,132.3,10.482944415831387,10.974106041923577,132.3,,,2013-01-29,2013-01,2012-12,2012-01,128.054,,
5389,Tiền Giang,131.038,7.466608014760223,33.63451869830814,131.038,,,2013-01-29,2013-01,2012-12,2012-01,131.038,,34.95159629248198
5390,TỔNG SỐ,22098.901907,98.7679795865659,15.00414480204472,205021.97941791598,20690.6765,6.806086823695679,2012-12-28,2012-12,2012-11,2011-12,22098.901907,6.806086823695679,
5391,Trung ương,5010.05,98.88563982626127,15.439777947419643,50314.0024,4775.0,4.9225130890052355,2012-12-28,2012-12,2012-11,2011-12,5010.05,4.9225130890052355,
5392,Địa phương,17088.851907,98.7297745337004,14.86317619341635,154707.97701791598,15915.6765,7.37119409910099,2012-12-28,2012-12,2012-11,2011-12,17088.851907,7.37119409910099,
5393,Bộ Giao thông Vận tải,727.5,100.84499329938355,18.046933927837145,7525.0534,710.0,2.464788732394368,2012-12-28,2012-12,2012-11,2011-12,727.5,2.464788732394368,
5394,Bộ NN và PTNT,474.33,96.37740467175635,15.138028949320088,4658.2091,475.0,-0.1410526315789582,2012-12-28,2012-12,2012-11,2011-12,474.33,-0.1410526315789582,
5395,Bộ Xây dựng,194.97,98.19261791028387,18.920828596837282,1788.3821500000001,197.0,-1.030456852791886,2012-12-28,2012-12,2012-11,2011-12,194.97,-1.030456852791886,
5396,Bộ Y tế,101.85,97.65166741573033,15.337678818788135,1086.3748,96.0,6.093749999999986,2012-12-28,2012-12,2012-11,2011-12,101.85,6.093749999999986,
5397,Bộ Giáo dục - Đào tạo,93.12,100.2756803269872,13.45800232869496,932.263,87.0,7.034482758620683,2012-12-28,2012-12,2012-11,2011-12,93.12,7.034482758620683,
5398,"Bộ Văn hoá, Thể thao và Du lịch",55.29,98.4271541377132,11.992078677834456,623.2407400000001,55.0,0.5272727272727309,2012-12-28,2012-12,2012-11,2011-12,55.29,0.5272727272727309,
5399,Bộ Công Thương,49.47,101.89086256660747,15.282376285232473,458.916445,47.0,5.255319148936181,2012-12-28,2012-12,2012-11,2011-12,49.47,5.255319148936181,
5400,Hà Nội,2418.608961,89.12053182958024,35.45034181559433,21252.5732254,2472.0669000000003,-2.1624794620242795,2012-12-28,2012-12,2012-11,2011-12,2418.608961,-2.1624794620242795,
5401,TP. Hồ Chí Minh,1784.786517,95.3609422191181,9.515611865007443,15322.1193910568,1381.4370000000001,29.197822050516947,2012-12-28,2012-12,2012-11,2011-12,1784.786517,29.197822050516947,
5402,Đà Nẵng,321.693516,101.81504395543821,12.844698083454404,7018.9255002,381.9429,-15.774447960676852,2012-12-28,2012-12,2012-11,2011-12,321.693516,-15.774447960676852,
5403,Thanh Hóa,430.683201,108.95412596262119,19.851142106748412,4090.1378886367993,427.46220000000005,0.7535171530956433,2012-12-28,2012-12,2012-11,2011-12,430.683201,0.7535171530956433,
5404,Quảng Ninh,255.13075799999996,88.41484855169092,-19.821546880696246,3673.1948830799997,247.2039,3.2066071773139413,2012-12-28,2012-12,2012-11,2011-12,255.13075799999996,3.2066071773139413,
5405,Lào Cai,507.377997,111.15630582193738,38.84254882501165,3624.9182891592,480.5829,5.575541077304251,2012-12-28,2012-12,2012-11,2011-12,507.377997,5.575541077304251,
5406,Bình Dương,433.716876,95.68976871212122,2.6530460020460396,3536.6938516,413.4798,4.89433244380983,2012-12-28,2012-12,2012-11,2011-12,433.716876,4.89433244380983,
5407,Vĩnh Phúc,463.76815500000004,106.81028263121215,6.026224088879559,3420.7061115472,415.4436,11.632037417353416,2012-12-28,2012-12,2012-11,2011-12,463.76815500000004,11.632037417353416,
5408,Bà Rịa - Vũng Tàu,333.74789999999996,86.93338412799153,21.257241957864466,3287.3859208,311.3928,7.179067724109217,2012-12-28,2012-12,2012-11,2011-12,333.74789999999996,7.179067724109217,
5409,Đồng Nai,442.459971,107.72968320323015,24.657007919503982,3201.7261848,402.1425,10.025667767022895,2012-12-28,2012-12,2012-11,2011-12,442.459971,10.025667767022895,
5410,Hải Phòng,332.126739,104.92199334671639,-0.31021799709657216,2561.0409356000005,292.00590000000005,13.739735738216226,2012-12-28,2012-12,2012-11,2011-12,332.126739,13.739735738216226,
5411,Hà Tĩnh,200.55429,88.32536130332731,-5.49454369087556,2537.7642809672,257.94,-22.247697138869498,2012-12-28,2012-12,2012-11,2011-12,200.55429,-22.247697138869498,
5412,Thừa Thiên - Huế,208.78056899999999,93.86334898507226,42.29958707096614,2376.807723,199.1178,4.85279015738422,2012-12-28,2012-12,2012-11,2011-12,208.78056899999999,4.85279015738422,
5413,Khánh Hòa,213.885,88.78505715075633,21.053604233000044,2247.9488619999997,210.267,1.720669434576024,2012-12-28,2012-12,2012-11,2011-12,213.885,1.720669434576024,
5414,Quảng Ngãi,159.581781,98.44692966940607,17.286619109211117,2108.3394458000002,163.458,-2.371385309987886,2012-12-28,2012-12,2012-11,2011-12,159.581781,-2.371385309987886,
5415,Cần Thơ,236.887677,91.82914764097208,6.4031560814574675,1934.6564825,254.81969999999998,-7.037141555382092,2012-12-28,2012-12,2012-11,2011-12,236.887677,-7.037141555382092,
5416,Tiền Giang,140.08594499999998,110.9078576589722,12.919321535970525,1694.1175257408004,140.47740000000002,-0.27866048204198535,2012-12-28,2012-12,2012-11,2011-12,140.08594499999998,-0.27866048204198535,
5417,Lâm Đồng,175.45990500000002,101.89571600719422,22.37185591993591,1642.9665249,181.26090000000002,-3.2003565026985967,2012-12-28,2012-12,2012-11,2011-12,175.45990500000002,-3.2003565026985967,
5418,Hậu Giang,103.011381,101.90238318800174,-1.9833815581714873,1637.469395448,183.996,-44.01433672471141,2012-12-28,2012-12,2012-11,2011-12,103.011381,-44.01433672471141,
5419,Đắk Lắk,111.840903,83.83045885188432,-5.048391942865891,1530.4088568,113.2389,-1.234555439870931,2012-12-28,2012-12,2012-11,2011-12,111.840903,-1.234555439870931,
5420,Hưng Yên,118.624113,87.8309723928756,29.76530597126137,1361.0287482,124.66080000000001,-4.8424901813561405,2012-12-28,2012-12,2012-11,2011-12,118.624113,-4.8424901813561405,
5421,Long An,142.36884,89.6047442724043,9.741349749455068,1336.8131798,126.22230000000002,12.792145286530186,2012-12-28,2012-12,2012-11,2011-12,142.36884,12.792145286530186,
5422,Sơn La,101.783943,95.2445319160595,26.625221639341135,1113.7895562263998,111.3993,-8.6314339497645,2012-12-28,2012-12,2012-11,2011-12,101.783943,-8.6314339497645,
5423,Ninh Thuận,140.33824199999998,73.82903601997694,-17.42741613842307,960.8849038,78.1497,79.57617495652573,2012-12-28,2012-12,2012-11,2011-12,140.33824199999998,79.57617495652573,
5424,TỔNG SỐ,22373.742949999996,90.00591357138521,8.054826214941798,186833.735356,21394.02,4.579424297069906,2012-11-29,2012-11,2012-10,2011-11,20690.6765,-3.2875705454140842,
5425,Trung ương,5205.0,90.9836677738252,6.944800985863807,46294.0,5005.0,3.996003996003992,2012-11-29,2012-11,2012-10,2011-11,4775.0,-4.595404595404602,
5426,Địa phương,17168.742949999996,89.68843035793601,8.42552640220211,140540.335356,16389.02,4.7575934985740105,2012-11-29,2012-11,2012-10,2011-11,15915.6765,-2.888174521722476,
5427,Bộ Giao thông Vận tải,705.0,92.15893862235325,9.381354203955539,6876.9,690.0,2.173913043478265,2012-11-29,2012-11,2012-10,2011-11,710.0,2.8985507246376727,
5428,Bộ NN và PTNT,496.0,88.06302112428362,6.678356762377518,4256.35,471.0,5.307855626326969,2012-11-29,2012-11,2012-10,2011-11,475.0,0.8492569002123105,
5429,Bộ Xây dựng,202.0,88.82528962828749,9.488568225633045,1617.775,195.0,3.5897435897436054,2012-11-29,2012-11,2012-10,2011-11,197.0,1.025641025641022,
5430,Bộ Y tế,107.0,90.3191011235955,7.114259453182626,1004.8,101.0,5.940594059405953,2012-11-29,2012-11,2012-10,2011-11,96.0,-4.950495049504951,
5431,Bộ Giáo dục - Đào tạo,92.0,91.91136925890072,4.341395645004951,854.5,89.0,3.37078651685394,2012-11-29,2012-11,2012-10,2011-11,87.0,-2.247191011235955,
5432,"Bộ Văn hoá, Thể thao và Du lịch",61.0,91.77037271004423,4.976451187409793,581.09,57.0,7.017543859649123,2012-11-29,2012-11,2012-10,2011-11,55.0,-3.5087719298245617,
5433,Bộ Công Thương,49.0,92.4583703374778,8.601259375770738,416.4325,46.0,6.521739130434796,2012-11-29,2012-11,2012-10,2011-11,47.0,2.173913043478265,
5434,Hà Nội,2585.4525499999995,80.40553633580744,22.532028056124204,19174.30825,2432.19,6.3014217639246795,2012-11-29,2012-11,2012-10,2011-11,2472.0669000000003,1.63954707485847,
5435,TP. Hồ Chí Minh,1603.31785,86.64427937638088,2.995064310458659,13921.5695888,1463.57,9.548422692457478,2012-11-29,2012-11,2012-10,2011-11,1381.4370000000001,-5.611825877819285,
5436,Đà Nẵng,405.0,98.78441498157765,7.838479809976249,6810.0,390.0,3.846153846153854,2012-11-29,2012-11,2012-10,2011-11,381.9429,-2.0659230769230703,
5437,Thanh Hóa,431.44629999999995,98.77979938199252,9.361862551539971,3708.193668799999,417.43,3.3577605826126273,2012-11-29,2012-11,2012-10,2011-11,427.46220000000005,2.403325108401418,
